
Name                             Status StartType
LanmanServer                    Running Automatic
LanmanWorkstation               Running Automatic
lfsvc                           Running    Manual
LicenseManager                  Stopped    Manual
lltdsvc                         Stopped    Manual
lmhosts                         Running    Manual
LocalKdc                        Stopped    Manual
LSM                             Running Automatic
LxpSvc                          Stopped    Manual
MapsBroker                      Stopped  Disabled
McpManagementService            Stopped    Manual
MDCoreSvc                       Running Automatic
MicrosoftEdgeElevationService   Stopped    Manual
mpssvc                          Running Automatic
MSDTC                           Running Automatic
MSiSCSI                         Stopped    Manual
msiserver                       Stopped    Manual
NaturalAuthentication           Stopped    Manual
NcaSvc                          Stopped    Manual
NcbService                      Running    Manual
Netlogon                        Stopped    Manual
Netman                          Stopped    Manual
netprofm                        Running    Manual
NetSetupSvc                     Running    Manual
NetTcpPortSharing               Stopped  Disabled
NgcCtnrSvc                      Stopped    Manual
NgcSvc                          Stopped    Manual
NlaSvc                          Stopped    Manual
nsi                             Running Automatic
PcaSvc                          Running Automatic
PerfHost                        Stopped    Manual
pla                             Running    Manual
PlugPlay                        Running    Manual
PolicyAgent                     Running    Manual
Power                           Running Automatic
PrintDeviceConfigurationService Stopped    Manual
PrintNotify                     Stopped    Manual
PrintScanBrokerService          Stopped    Manual
ProfSvc                         Running Automatic
PushToInstall                   Stopped    Manual
QWAVE                           Stopped    Manual
RasAuto                         Stopped    Manual
RasMan                          Stopped    Manual
RdAgent                         Running Automatic
refsdedupsvc                    Stopped    Manual
RemoteAccess                    Stopped  Disabled
RemoteRegistry                  Stopped  Disabled
RmSvc                           Running    Manual
RpcEptMapper                    Running Automatic
RpcLocator                      Stopped    Manual
RpcSs                           Running Automatic
RSoPProv                        Stopped    Manual
sacsvr                          Running    Manual
SamSs                           Running Automatic
SCardSvr                        Stopped    Manual
ScDeviceEnum                    Stopped    Manual
Schedule                        Running Automatic
SCPolicySvc                     Stopped    Manual
seclogon                        Stopped    Manual
SecurityHealthService           Stopped    Manual
SEMgrSvc                        Stopped    Manual
SENS                            Running Automatic
Sense                           Stopped    Manual
SensorDataService               Stopped    Manual
SensorService                   Stopped    Manual
SensrSvc                        Stopped    Manual
SessionEnv                      Running    Manual
SharedAccess                    Stopped    Manual
ShellHWDetection                Running Automatic
shpamsvc                        Stopped  Disabled
smphost                         Running    Manual
SNMPTrap                        Stopped    Manual
Spooler                         Running Automatic
sppsvc                          Stopped Automatic
SSDPSRV                         Stopped  Disabled
ssh-agent                       Stopped  Disabled
sshd                            Running Automatic
SstpSvc                         Stopped    Manual
StateRepository                 Running Automatic
StiSvc                          Stopped    Manual
StorSvc                         Running Automatic
svsvc                           Stopped    Manual
swprv                           Stopped    Manual
SysMain                         Running Automatic
SystemEventsBroker              Running Automatic
tapisrv                         Stopped    Manual
TermService                     Running    Manual
TextInputManagementService      Running Automatic
Themes                          Running Automatic
TieringEngineService            Stopped    Manual
TimeBrokerSvc                   Running    Manual
TokenBroker                     Running    Manual
TrkWks                          Running Automatic
TrustedInstaller                Running    Manual
tzautoupdate                    Stopped  Disabled
UALSVC                          Running Automatic
UevAgentService                 Stopped  Disabled
UmRdpService                    Running    Manual
upnphost                        Stopped  Disabled
UserManager                     Running Automatic
UsoSvc                          Running Automatic
VaultSvc                        Stopped    Manual
vds                             Stopped    Manual
vmicguestinterface              Stopped    Manual
vmicheartbeat                   Running    Manual
vmickvpexchange                 Running    Manual
vmicrdv                         Stopped    Manual
vmicshutdown                    Running    Manual
vmictimesync                    Running    Manual
vmicvmsession                   Stopped    Manual
vmicvss                         Stopped    Manual
VSS                             Stopped    Manual
W32Time                         Running Automatic
