Document ID (basename),Governance Document name(s),Controls Mapped,Path in matrix,Status
MAC-SOP-231_POAM_Process_Procedure.md,Plan of Action and Milestones (POA&M) Management Procedure,3.12.2,compliance/cmmc/level2/02-policies-and-procedures/MAC-SOP-231_POAM_Process_Procedure.md,Existing
MAC-SOP-232_Incident_Response_Testing_Procedure.md,Incident Response Testing Procedure,3.6.3,compliance/cmmc/level2/02-policies-and-procedures/MAC-SOP-232_Incident_Response_Testing_Procedure.md,Existing
MAC-SOP-233_Personnel_Screening_Procedure.md,Personnel Screening Procedure,3.9.1,compliance/cmmc/level2/02-policies-and-procedures/MAC-SOP-233_Personnel_Screening_Procedure.md,Existing
MAC-SOP-234_Personnel_Termination_Procedure.md,Personnel Termination Procedure,3.9.2,compliance/cmmc/level2/02-policies-and-procedures/MAC-SOP-234_Personnel_Termination_Procedure.md,Existing
MAC-SOP-236_Physical_Access_Device_Control_Procedure.md,Physical Access Control Procedure,3.10.1;3.10.2;3.10.4;3.10.5,compliance/cmmc/level2/02-policies-and-procedures/MAC-SOP-236_Physical_Access_Device_Control_Procedure.md,Existing
MAC-SOP-239_System_Monitoring_Procedure.md,Procedures for System Monitoring,3.14.3;3.14.6;3.14.7,compliance/cmmc/level2/02-policies-and-procedures/MAC-SOP-239_System_Monitoring_Procedure.md,Existing
MAC-SOP-240_Session_Connection_Termination_Procedure.md,Procedures for session/connection termination,3.13.9,compliance/cmmc/level2/02-policies-and-procedures/MAC-SOP-240_Session_Connection_Termination_Procedure.md,Existing
MAC-SOP-241_Mobile_Code_Script_Control_Procedure.md,Procedures for mobile code/script control,3.13.13,compliance/cmmc/level2/02-policies-and-procedures/MAC-SOP-241_Mobile_Code_Script_Control_Procedure.md,Existing
MAC-SOP-242_Transmission_Integrity_SMB_Procedure.md,Procedures for transmission integrity (SMB signing/crypto),3.13.15,compliance/cmmc/level2/02-policies-and-procedures/MAC-SOP-242_Transmission_Integrity_SMB_Procedure.md,Existing
MAC-SOP-243_Separation_System_Management_Procedure.md,Gov docs for separation of duties and system management,3.13.3,compliance/cmmc/level2/02-policies-and-procedures/MAC-SOP-243_Separation_System_Management_Procedure.md,Existing
MAC-SOP-244_Information_Transfer_Controls_Procedure.md,Gov docs for information transfer controls,3.13.4,compliance/cmmc/level2/02-policies-and-procedures/MAC-SOP-244_Information_Transfer_Controls_Procedure.md,Existing
MAC-SOP-245_RDP_Collaborative_Device_Restrictions_Procedure.md,Gov docs for RDP/collaborative device use and restrictions,3.13.12,compliance/cmmc/level2/02-policies-and-procedures/MAC-SOP-245_RDP_Collaborative_Device_Restrictions_Procedure.md,Existing
MAC-SOP-246_Media_Sanitization_Procedure.md,Procedures for Media Sanitization,3.8.3;3.8.7,compliance/cmmc/level2/02-policies-and-procedures/MAC-SOP-246_Media_Sanitization_Procedure.md,Existing
MAC-SOP-247_CUI_Media_Handling_and_Transport_Procedure.md,Procedures for CUI Media Handling and Transport,3.8.4;3.8.5;3.8.6,compliance/cmmc/level2/02-policies-and-procedures/MAC-SOP-247_CUI_Media_Handling_and_Transport_Procedure.md,Existing
MAC-SOP-248_CUI_Marking_and_Handling_Procedure.md,CUI Marking and Handling Procedure,3.8.1;3.8.2;3.8.4;3.8.5,compliance/cmmc/level2/02-policies-and-procedures/MAC-SOP-248_CUI_Marking_and_Handling_Procedure.md,Existing
MAC-SOP-249_Visitor_Control_Procedure.md,Visitor Control Procedure,3.10.3,compliance/cmmc/level2/02-policies-and-procedures/MAC-SOP-249_Visitor_Control_Procedure.md,Existing
MAC-SOP-250_Boundary_Protection_and_Network_Segmentation_Procedure.md,Boundary Protection and Network Segmentation Procedure,3.13.1;3.13.5;3.13.6;3.13.7,compliance/cmmc/level2/02-policies-and-procedures/MAC-SOP-250_Boundary_Protection_and_Network_Segmentation_Procedure.md,Existing
MAC-SOP-251_Cryptographic_Key_Management_Procedure.md,Cryptographic Key Management Procedure,3.13.10;3.13.11,compliance/cmmc/level2/02-policies-and-procedures/MAC-SOP-251_Cryptographic_Key_Management_Procedure.md,Existing
MAC-SOP-252_System_Inventory_and_Asset_Management_Procedure.md,System Inventory and Asset Management Procedure,3.4.2,compliance/cmmc/level2/02-policies-and-procedures/MAC-SOP-252_System_Inventory_and_Asset_Management_Procedure.md,Existing
MAC-SOP-253_Access_Enforcement_and_Least_Privilege_Procedure.md,Access Enforcement and Least Privilege Procedure,3.1.5;3.1.6;3.1.7,compliance/cmmc/level2/02-policies-and-procedures/MAC-SOP-253_Access_Enforcement_and_Least_Privilege_Procedure.md,Existing
MAC-SOP-254_Flaw_Remediation_Procedure.md,Procedures for Flaw Remediation,3.14.1,compliance/cmmc/level2/02-policies-and-procedures/MAC-SOP-254_Flaw_Remediation_Procedure.md,Existing
