Document ID,Required,Found,Resolved path,Notes
MAC-SOP-233_Personnel_Screening_Procedure.md,Y,Y,/Users/patrick/mactech/compliance/cmmc/level2/02-policies-and-procedures/MAC-SOP-233_Personnel_Screening_Procedure.md,
MAC-SOP-234_Personnel_Termination_Procedure.md,Y,Y,/Users/patrick/mactech/compliance/cmmc/level2/02-policies-and-procedures/MAC-SOP-234_Personnel_Termination_Procedure.md,
MAC-SOP-236_Physical_Access_Device_Control_Procedure.md,Y,Y,/Users/patrick/mactech/compliance/cmmc/level2/02-policies-and-procedures/MAC-SOP-236_Physical_Access_Device_Control_Procedure.md,
MAC-SOP-239_System_Monitoring_Procedure.md,Y,Y,/Users/patrick/cui-pilot/control-plane/MacTech_CUI_Enclave_Governance_Bundle_2025-03-01/MAC-SOP-239_System_Monitoring_Procedure.md,
MAC-SOP-240_Session_Connection_Termination_Procedure.md,Y,Y,/Users/patrick/cui-pilot/control-plane/MacTech_CUI_Enclave_Governance_Bundle_2025-03-01/MAC-SOP-240_Session_Connection_Termination_Procedure.md,
MAC-SOP-241_Mobile_Code_Script_Control_Procedure.md,Y,Y,/Users/patrick/cui-pilot/control-plane/MacTech_CUI_Enclave_Governance_Bundle_2025-03-01/MAC-SOP-241_Mobile_Code_Script_Control_Procedure.md,
MAC-SOP-242_Transmission_Integrity_SMB_Procedure.md,Y,Y,/Users/patrick/cui-pilot/control-plane/MacTech_CUI_Enclave_Governance_Bundle_2025-03-01/MAC-SOP-242_Transmission_Integrity_SMB_Procedure.md,
MAC-SOP-243_Separation_System_Management_Procedure.md,Y,Y,/Users/patrick/cui-pilot/control-plane/MacTech_CUI_Enclave_Governance_Bundle_2025-03-01/MAC-SOP-243_Separation_System_Management_Procedure.md,
MAC-SOP-244_Information_Transfer_Controls_Procedure.md,Y,Y,/Users/patrick/cui-pilot/control-plane/MacTech_CUI_Enclave_Governance_Bundle_2025-03-01/MAC-SOP-244_Information_Transfer_Controls_Procedure.md,
MAC-SOP-245_RDP_Collaborative_Device_Restrictions_Procedure.md,Y,Y,/Users/patrick/cui-pilot/control-plane/MacTech_CUI_Enclave_Governance_Bundle_2025-03-01/MAC-SOP-245_RDP_Collaborative_Device_Restrictions_Procedure.md,
MAC-SOP-246_Media_Sanitization_Procedure.md,Y,Y,/Users/patrick/mactech/compliance/cmmc/level2/02-policies-and-procedures/MAC-SOP-246_Media_Sanitization_Procedure.md,
MAC-SOP-247_CUI_Media_Handling_and_Transport_Procedure.md,Y,Y,/Users/patrick/mactech/compliance/cmmc/level2/02-policies-and-procedures/MAC-SOP-247_CUI_Media_Handling_and_Transport_Procedure.md,
MAC-SOP-248_CUI_Marking_and_Handling_Procedure.md,Y,Y,/Users/patrick/mactech/compliance/cmmc/level2/02-policies-and-procedures/MAC-SOP-248_CUI_Marking_and_Handling_Procedure.md,
MAC-SOP-249_Visitor_Control_Procedure.md,Y,Y,/Users/patrick/mactech/compliance/cmmc/level2/02-policies-and-procedures/MAC-SOP-249_Visitor_Control_Procedure.md,
MAC-SOP-250_Boundary_Protection_and_Network_Segmentation_Procedure.md,Y,Y,/Users/patrick/mactech/compliance/cmmc/level2/02-policies-and-procedures/MAC-SOP-250_Boundary_Protection_and_Network_Segmentation_Procedure.md,
MAC-SOP-251_Cryptographic_Key_Management_Procedure.md,Y,Y,/Users/patrick/mactech/compliance/cmmc/level2/02-policies-and-procedures/MAC-SOP-251_Cryptographic_Key_Management_Procedure.md,
MAC-SOP-252_System_Inventory_and_Asset_Management_Procedure.md,Y,Y,/Users/patrick/mactech/compliance/cmmc/level2/02-policies-and-procedures/MAC-SOP-252_System_Inventory_and_Asset_Management_Procedure.md,
MAC-SOP-253_Access_Enforcement_and_Least_Privilege_Procedure.md,Y,Y,/Users/patrick/mactech/compliance/cmmc/level2/02-policies-and-procedures/MAC-SOP-253_Access_Enforcement_and_Least_Privilege_Procedure.md,
MAC-SOP-254_Flaw_Remediation_Procedure.md,Y,Y,/Users/patrick/cui-pilot/control-plane/docs/cui-enclave-governance/MAC-SOP-254_Flaw_Remediation_Procedure.md,
