
Name                                         Status StartType
fdPHost                                     Stopped    Manual
FDResPub                                    Stopped    Manual
FontCache                                   Running Automatic
FrameServer                                 Stopped    Manual
FrameServerMonitor                          Stopped    Manual
GameInputSvc                                Stopped    Manual
gpsvc                                       Running Automatic
GraphicsPerfSvc                             Stopped    Manual
hidserv                                     Stopped    Manual
hpatchmon                                   Stopped    Manual
HvHost                                      Stopped    Manual
IaasVmProvider                              Stopped Automatic
IKEEXT                                      Stopped    Manual
InstallService                              Running    Manual
InventorySvc                                Stopped Automatic
iphlpsvc                                    Running Automatic
KeyIso                                      Running    Manual
KPSSVC                                      Stopped    Manual
KtmRm                                       Stopped    Manual
LanmanServer                                Running Automatic
LanmanWorkstation                           Running Automatic
lfsvc                                       Running    Manual
LicenseManager                              Running    Manual
lltdsvc                                     Stopped    Manual
lmhosts                                     Running    Manual
LocalKdc                                    Stopped    Manual
LSM                                         Running Automatic
LxpSvc                                      Stopped    Manual
MapsBroker                                  Stopped  Disabled
McpManagementService                        Stopped    Manual
MDCoreSvc                                   Running Automatic
MicrosoftEdgeElevationService               Stopped    Manual
mpssvc                                      Running Automatic
MSDTC                                       Running Automatic
MSiSCSI                                     Stopped    Manual
msiserver                                   Stopped    Manual
NaturalAuthentication                       Stopped    Manual
NcaSvc                                      Stopped    Manual
NcbService                                  Running    Manual
Netlogon                                    Stopped    Manual
Netman                                      Running    Manual
netprofm                                    Running    Manual
NetSetupSvc                                 Running    Manual
NetTcpPortSharing                           Stopped  Disabled
NgcCtnrSvc                                  Stopped    Manual
NgcSvc                                      Stopped    Manual
NlaSvc                                      Stopped    Manual
NPSMSvc_17388ed5                            Stopped    Manual
nsi                                         Running Automatic
OneSyncSvc_17388ed5                         Running Automatic
P9RdrService_17388ed5                       Stopped    Manual
PcaSvc                                      Running Automatic
PerfHost                                    Stopped    Manual
PimIndexMaintenanceSvc_17388ed5             Stopped    Manual
pla                                         Running    Manual
PlugPlay                                    Running    Manual
PolicyAgent                                 Running    Manual
Power                                       Running Automatic
PrintDeviceConfigurationService             Stopped    Manual
PrintNotify                                 Stopped    Manual
PrintScanBrokerService                      Stopped    Manual
PrintWorkflowUserSvc_17388ed5               Stopped    Manual
ProfSvc                                     Running Automatic
PushToInstall                               Stopped    Manual
QWAVE                                       Stopped    Manual
RasAuto                                     Stopped    Manual
RasMan                                      Running    Manual
RdAgent                                     Running Automatic
refsdedupsvc                                Stopped    Manual
RemoteAccess                                Stopped  Disabled
RemoteRegistry                              Stopped  Disabled
RmSvc                                       Running    Manual
RpcEptMapper                                Running Automatic
RpcLocator                                  Stopped    Manual
RpcSs                                       Running Automatic
RSoPProv                                    Stopped    Manual
sacsvr                                      Running    Manual
SamSs                                       Running Automatic
SCardSvr                                    Stopped    Manual
ScDeviceEnum                                Running    Manual
Schedule                                    Running Automatic
SCPolicySvc                                 Stopped    Manual
seclogon                                    Running    Manual
SecurityHealthService                       Running    Manual
SEMgrSvc                                    Stopped    Manual
SENS                                        Running Automatic
Sense                                       Stopped    Manual
SensorDataService                           Stopped    Manual
SensorService                               Stopped    Manual
SensrSvc                                    Stopped    Manual
SessionEnv                                  Running    Manual
SharedAccess                                Stopped    Manual
ShellHWDetection                            Running Automatic
shpamsvc                                    Stopped  Disabled
smphost                                     Running    Manual
SNMPTrap                                    Stopped    Manual
Spooler                                     Running Automatic
sppsvc                                      Stopped Automatic
SSDPSRV                                     Stopped  Disabled
ssh-agent                                   Stopped  Disabled
sshd                                        Running Automatic
SstpSvc                                     Running    Manual
StateRepository                             Running Automatic
StiSvc                                      Stopped    Manual
StorSvc                                     Running Automatic
svsvc                                       Stopped    Manual
swprv                                       Stopped    Manual
SysMain                                     Running Automatic
SystemEventsBroker                          Running Automatic
tapisrv                                     Stopped    Manual
TermService                                 Running    Manual
TextInputManagementService                  Running Automatic
Themes                                      Running Automatic
TieringEngineService                        Stopped    Manual
TimeBrokerSvc                               Running    Manual
TokenBroker                                 Running    Manual
TrkWks                                      Running Automatic
TrustedInstaller                            Running    Manual
tzautoupdate                                Stopped  Disabled
UALSVC                                      Running Automatic
UdkUserSvc_17388ed5                         Running    Manual
UevAgentService                             Stopped  Disabled
UmRdpService                                Running    Manual
UnistoreSvc_17388ed5                        Stopped    Manual
upnphost                                    Stopped  Disabled
UserDataSvc_17388ed5                        Stopped    Manual
UserManager                                 Running Automatic
UsoSvc                                      Running Automatic
VaultSvc                                    Running    Manual
vds                                         Stopped    Manual
vmicguestinterface                          Stopped    Manual
vmicheartbeat                               Running    Manual
vmickvpexchange                             Running    Manual
vmicrdv                                     Stopped    Manual
vmicshutdown                                Running    Manual
vmictimesync                                Running    Manual
vmicvmsession                               Stopped    Manual
vmicvss                                     Stopped    Manual
VSS                                         Stopped    Manual
W32Time                                     Running Automatic
WaaSMedicSvc                                Stopped    Manual
WalletService                               Stopped    Manual
WarpJITSvc                                  Stopped    Manual
WbioSrvc                                    Stopped    Manual
Wcmsvc                                      Running Automatic
wcncsvc                                     Stopped    Manual
WdiServiceHost                              Stopped    Manual
WdiSystemHost                               Stopped    Manual
WdNisSvc                                    Running    Manual
Wecsvc                                      Stopped    Manual
WEPHOSTSVC                                  Stopped    Manual
wercplsupport                               Stopped    Manual
WerSvc                                      Stopped    Manual
WFDSConMgrSvc                               Stopped    Manual
WiaRpc                                      Stopped    Manual
WinDefend                                   Running Automatic
WindowsAzureGuestAgent                      Running Automatic
WinHttpAutoProxySvc                         Running    Manual
Winmgmt                                     Running Automatic
WinRM                                       Stopped  Disabled
wisvc                                       Stopped    Manual
WlanSvc                                     Stopped    Manual
wlidsvc                                     Stopped    Manual
WManSvc                                     Stopped    Manual
wmiApSrv                                    Stopped    Manual
WMPNetworkSvc                               Stopped    Manual
workfolderssvc                              Stopped    Manual
WPDBusEnum                                  Stopped    Manual
WpnService                                  Running Automatic
WpnUserService_17388ed5                     Running Automatic
WSAIFabricSvc                               Running Automatic
WSearch                                     Stopped  Disabled
wuauserv                                    Running    Manual
XblAuthManager                              Stopped    Manual
ZTHELPER                                    Stopped    Manual




